title,authors,pdfLink
"Quantum chaos on the separatrix of the periodically perturbed Harper model","Alice C. Quillen, Abobakar Sediq Miakhel","https://arxiv.org/pdf/2412.14926"
"Characterising the dynamics of unlabelled temporal networks","Annalisa Caligiuri, Tobias Galla, Lucas Lacasa","https://arxiv.org/pdf/2412.14864"
"From Order to Chimeras: Unraveling Dynamic Patterns in Active Fluids with Nonlinear Growth","Joydeep Das, Abhishek Chaudhuri, Sudeshna Sinha","https://arxiv.org/pdf/2412.14729"
"Accurate modeling of continuous-time SAT solvers in SPICE","Yuriy V. Pershin, Dyk Chung Nguyen","https://arxiv.org/pdf/2412.14690"
"Semi-local one-dimensional optical wave turbulence","Clément Colléaux, Jonathan Skipp, Jason Laurie, Sergey Nazarenko","https://arxiv.org/pdf/2412.14153"
"Extending Chaos Theory: The Role of Nonlinearity in Multiple Mappings","Illych Alvarez (Escuela Superior Politecnica del Litoral)","https://arxiv.org/pdf/2412.12136"
"Chaotic dynamics and fractal geometry in ring lattice systems of non-chaotic Rulkov neurons","Brandon B. Le","https://arxiv.org/pdf/2412.12134"
"Reservoir Computing Generalized","Tomoyuki Kubota, Yusuke Imai, Sumito Tsunegi, Kohei Nakajima","https://arxiv.org/pdf/2412.12104"
"Effect of local flow geometry on particle pair dispersion angle","B.L. Español, M. Noseda, P.J. Cobelli, P.D. Mininni","https://arxiv.org/pdf/2412.12334"
"Brickwall One-Loop Determinant: Spectral Statistics & Krylov Complexity","Hyun-Sik Jeong, Arnab Kundu, Juan F. Pedraza","https://arxiv.org/pdf/2412.12301"
"Robust methods to detect coupling among nonlinear time series","Timothy Sauer, George Sugihara","https://arxiv.org/pdf/2412.11252"
"Three forms of dimension reduction for border-collision bifurcations","David J.W. Simpson","https://arxiv.org/pdf/2412.11114"
"Controlling dynamical systems into unseen target states using machine learning","Daniel Köglmayr, Alexander Haluszczynski, Christoph Räth","https://arxiv.org/pdf/2412.10251"
"Dynamical mean-field theory for a highly heterogeneous neural population","Futa Tomita, Jun-nosuke Teramae","https://arxiv.org/pdf/2412.10062"
"Universality of extreme events in turbulent flows","Dhawal Buaria, Alain Pumir","https://arxiv.org/pdf/2412.09801"
